Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum,Linkedin
High Flyers Capital,https://highflyerscapital.com/,"16 cours Albert 1er, 75008 Paris, France",France,3. Early Revenue,"We invest in FR-based food & foodtech companies (Brands & Products, Delivery, Digitization, Green Transition, MarketPlace, Novel Foods, Nutrition, etc.) with >500 k€ turnover.",VC,"$250,000","$350,000",https://www.linkedin.com/company/highflyerscapital
Hirschvogel Ventures,https://www.hirschvogel.ventures/,"Am Penzinger Feld 13, 86899 Landsberg, Germany","Germany,Austria,Switzerland,Belgium,Netherlands,UK,Slovenia,Spain,Croatia","3. Early Revenue,4. Scaling,5. Growth",We invest in European-based deep-tech startups in seed and series a / b rounds.,Corporate VC,"$250,000","$10,000,000",https://www.linkedin.com/company/hirschvogel-ventures/
Hitachi Ventures,https://www.linkedin.com/company/hitachi-ventures-gmbh/,"Leopoldstrasse 154, 80804 Munich, Germany","Germany,USA,Israel,UK,Canada,Switzerland,Spain,France,Estonia,Romania,Sweden","3. Early Revenue,4. Scaling,5. Growth","We invest in Series A-C companies that have strategic synergies with Hitachi over across Industrial IoT, robotics, energy, automotive, fintech, cybersecurity, digital health, genomics, etc., with early revenues of $1M+.",Corporate VC,"$1,000,000","$7,000,000",https://www.linkedin.com/company/hitachi-ventures-gmbh/
HoaQ,https://hoaq.club/,"60 Summerseat Avenue, Clonee, D15 P5FK, Ireland","Nigeria,France,UK","3. Early Revenue,4. Scaling","We invest in founders and teams with domain expertise, technical know-how, and have attained some traction within a large defined opportunity.",Angel network,"$5,000","$50,000",https://www.linkedin.com/company/hoaq/
HoriZen Capital,https://horizencapital.com/,"Edmonton, Alberta CA","Canada,USA,UK,Germany,France","4. Scaling,5. Growth",We Invest in B2B SaaS companies between $1m and $5m in ARR,PE fund,"$500,000","$5,000,000",https://www.linkedin.com/company/horizen-capital/
How Women Invest,https://www.howwomeninvest.com/,"1 Adrian Terrace, San Rafael, CA 94903, USA",USA,"3. Early Revenue,4. Scaling","We invest in female founded, female-led early stage companies based in the US.  We seek companies that are tech-enabled and have some revenue traction. Primarily focused on late stage seed/A capital raise rounds.",VC,"$100,000","$750,000",https://www.linkedin.com/company/howwomeninvest/
HTGF High-Tech Gründerfonds,https://www.htgf.de/en/,"Schlegelstraße 2, Bonn, Nordrhein-Westfalen 53113, DE","Germany,Switzerland,Austria,Belgium,France,Denmark,Netherlands,Sweden,Finland,Italy,Spain","3. Early Revenue,2. Prototype","We invest in early-stage companies with focus on B2B SaaS models, but also look into other opportunities. The venture should not be older than 3 years (since incorporation) and have a distinct focus on the German market.",VC,"$300,000","$1,000,000",https://www.linkedin.com/company/high-tech-gruenderfonds/
Hummingbird Ventures,https://www.hummingbird.vc/,"London, United Kingdom","UK,India,Turkey,Belgium,Indonesia,Brazil,Mexico,Canada,USA,Netherlands,Nigeria,France,Singapore,Greece,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in entrepreneurial genius globally at early-stage.,VC,"$500,000","$10,000,000",https://www.linkedin.com/company/hummigbird-ventures
Hustle Fund,https://www.hustlefund.vc/,"751 Laurel St, Suite 337 San Carlos, CA 94070, USA","USA,Indonesia,Vietnam,Canada","2. Prototype,3. Early Revenue","We invest in early-stage startups based in the US, Canada, and South-East Asia. 

Generalist fund trying to understand a team's hustle. Start with a fast-decision $25K check; work together on growth projects; if there's a fit (both ways), ask permission for $250-750K in your next raise. It's like dating before marriage, and founders hold us accountable to prove our hustle too!",VC,"$25,000","$25,000",https://www.linkedin.com/company/hustle-fund/
Hyde Park Venture Partners,https://hydeparkvp.com/,"415 N LaSalle St, Chicago, Illinois 60654, USA",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in B2B SaaS, marketplaces, tech-enabled services, and B2C software based in the US Midwest, Toronto, and Atlanta from idea stage through $2M+ in ARR. ",VC,"$250,000","$3,000,000",https://www.linkedin.com/company/hyde-park-venture-partners/
IAN Fund,https://www.ian-fund.com/,"Delhi, India",India,"3. Early Revenue,4. Scaling,5. Growth",We invest in post-revenue Indian startups. Sector agnostic.,VC,"$1,000,000","$6,000,000",https://www.linkedin.com/showcase/ian-fund
IBB Ventures,https://www.ibbventures.de/en,"Bundesallee 210, 10719 Berlin, Germany",Germany,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in Berlin companies. 

If you are a founding team from Berlin who wants to realize an idea and is looking for an investor who contributes more than just money, then IBB Ventures is the right investor for you! ",Public fund,"$200,000","$1,000,000",https://www.linkedin.com/company/ibb-beteiligungsgesellschaft-mbh/
Ibex Investors,https://www.ibexinvestors.com/,"260 N Josephine St Unit 300, Denver, CO 80206","USA,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in markets and opportunities commonly dismissed as too difficult or too different. ,VC,"$2,000,000","$30,000,000",https://www.linkedin.com/company/ibex-investors-llc/ 
Icehouse Ventures,https://www.icehouseventures.co.nz/,"125 St Georges Bay Raod, Parnell, Auckland New Zealand",New Zealand,"3. Early Revenue,4. Scaling,2. Prototype",We invest in brave Kiwi founders chasing big problems.,VC,"$25,000","$2,500,000",https://www.linkedin.com/company/icehouse-ventures/
Id4 Ventures,https://www.id4.vc/,"Paris, France","France,UK,Germany,Estonia,Latvia,Lithuania,Norway,Spain,Italy,Finland,Denmark,Sweden,Switzerland,Romania,Croatia,Serbia,Poland,Netherlands,Belgium,Ireland,Austria,Portugal,Czech Republic","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest from Angel to seed fund in Europe. We love saas, marketplaces & traditional industries disruption",VC,"$50,000","$1,000,000",https://www.linkedin.com/company/id4ventures/
IGC Fund,https://igcap.com/,"Los Angeles, USA","USA,UAE,Canada","2. Prototype,3. Early Revenue,1. Idea or Patent,4. Scaling","We invest in health & wellness, sport & peak performance, and sustainability, but we are open to all disruptive, category-defining ideas.",VC,"$100,000","$500,000",https://www.linkedin.com/company/igc-fund/
Indian Angel Network,https://www.indianangelnetwork.com/,"Delhi, India",India,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in early and growth-stage startups. We're sector agnostic and have invested in over 160 companies across 17 different sectors and 7 countries.,Angel network,"$30,000","$1,000,000",https://in.linkedin.com/company/indian-angel-network
Indicator Ventures,https://www.indicatorventures.com/,"373 Washington Street Boston, MA 02108",USA,"3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in enterprise software, digital health, and fintech companies at the pre-seed and seed stage.",VC,"$300,000","$1,250,000",https://www.linkedin.com/company/indicator-ventures/
Innovacom,http://innovacom.com/,"9, rue de Téhéran F-75008 Paris France","France,Belgium,Austria,Germany,Italy,Spain,UK,Ireland,Luxembourg,Switzerland,Netherlands","3. Early Revenue,4. Scaling,2. Prototype","We invest in Deeptech, Hardware, Software",VC,"$1,000,000","$5,000,000",https://www.linkedin.com/company/innovacom
Innovation Nest,https://www.innovationnest.co/,Ludwinowska 7/8 31-103 Krakow Poland,"Poland,Portugal,Spain,France,Denmark,Germany,UK,Estonia,Romania,Hungary",3. Early Revenue,"We invest in B2B Software companies across horizontal (sales, marketing, finance, hr) and vertical (logistics, ecommerce, services, horeca) markets with a live product and early revenue.",VC,"$300,000","$1,200,000",https://www.linkedin.com/company/2279786
InQvation,https://inqvation.dk/,"Erik Husfeldts Vej 7, Taastrup, 2630, DK","Denmark,Sweden,Norway,Finland,Germany,Estonia,Latvia","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in start-ups when we’re sure that our operational skill set, experience and network will bring an original vision to life. We don’t pick and choose specific industries but invest wholeheartedly in teams that believe in the change they bring. And we tend to be among the first institutional investors and like to lead – or co-lead – the early financing rounds.",VC,"$200,000","$1,500,000",https://www.linkedin.com/company/inqvation/
Insurtech Capital,https://www.insurtechcapital.com/,Luxembourg,France,"3. Early Revenue,4. Scaling,5. Growth","We invest mainly in Insurtech, WealthTech, PropTech...",VC,"$100,000","$2,000,000",https://www.linkedin.com/company/insurtechcapital/
Insurtech Gateway,https://insurtechgateway.com/,"32 Blackfriars Road, London, England SE1 8PB, GB","UK,USA,France,Germany,Spain,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage Insurtech companies. Insurtech Gateway is the only investor with its own FCA authorised incubator + fund. The fastest place to build and launch an insurtech idea. The Gateway Fund supports the portfolio post-incubation, as they enter a phase of rapid growth and scale-up, to Series A and beyond.",VC,"$50,000","$1,000,000",https://www.linkedin.com/company/insurtech-gateway
Intonation Ventures,https://www.intonationventures.com/,"447 Broadway 2FL, New York, NY, 10013, USA","USA,Canada,UK,China","2. Prototype,3. Early Revenue","We invest $25k-$250k in early-stage consumer startups in North America and China. At Intonation, we invest in products that bring people joy. We see the steady decline in the world's happiness index as one of our biggest challenges. We'd love to back teams and products that bring smiles back, either through facilitating authentic social connections, creating fun digital/IRL experiences, enabling easier content creation, or many more. If you are doing just that, please let us know - we'd love to chat!",VC,"$25,000","$250,000",https://www.linkedin.com/company/intonation-ventures/
Inventure,https://inventure.vc/,"Lapinlahdenkatu 16, Helsinki, Southern Finland FI","Finland,Norway,Denmark,Iceland,Latvia,Estonia,Lithuania","3. Early Revenue,4. Scaling","We invest in Seed and Series A throughout the Nordics and Baltics, with a portfolio ranging from deep tech companies like Blueprint Genetics and AImotive to consumer internet brands like Insurello, Swappie, and Wolt.",VC,"$400,000","$4,000,000",https://www.linkedin.com/company/inventure/
Investir&+,http://fr.investiretplus.com/,"14, rue des Jeûneurs, 75002, Paris, France ","France,Spain","3. Early Revenue,4. Scaling","We invest in social or environmental impact projects: social, health, greentech and circular economy",VC,"$250,000","$1,000,000",https://www.linkedin.com/company/investir-&-
Investors Club FrenchFounders,https://www.frenchfounders.com/,"27 W 20th St., Suite 800, New York, New York 10011, US","USA,France,Canada,UK,Belgium,Netherlands,Germany,Switzerland,Italy,Spain,Portugal","3. Early Revenue,4. Scaling","We invest in pre-seed, seed, and Series A. ",Angel network,"$200,000","$1,500,000",https://www.linkedin.com/company/frenchfounders/mycompany/
Iporanga Ventures,https://ipo.ventures/,"Rua Horacio Lafer 160 cj 52, CEP 04538-080, São Paulo/SP, Brazil",Brazil,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Brazilian pre-seed/seed stage startups developing sound products/solutions backed by superior technology teams.  ,VC,"$150,000","$1,000,000",https://www.linkedin.com/company/iporanga-ventures
Iris Capital,https://www.iriscapital.com/en,"62 rue Pierre Charron, Paris, 75008, FR","USA,Israel,France,Germany","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in tech and digital startups that disrupt their industries across Europe and beyond, from seed (500k) to pre-IPO stages (up to 30m)",VC,"$500,000","$20,000,000",https://www.linkedin.com/company/iris-capital-management/
IrishAngels,http://irishangels.com/,"415 N. LaSalle Dr. Suite 504, Chicago, IL 60654",USA,"2. Prototype,3. Early Revenue","We invest in US-based software, consumer products, and medical devices.",Angel network,"$150,000","$1,000,000",https://www.linkedin.com/company/vitalizeventuregroup/
Isai,http://www.isai.vc/,"8 Avenue Kléber, 75116 Paris, FR",France,"3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent","We invest in digital startups (B2C & B2B) with at least one French founder in Europe and in the US, from Pre-Seed to Series-A",VC,"$100,000","$3,000,000",https://www.linkedin.com/company/isai-gestion/
Join Capital,https://www.join.capital/,"Straßburger Str. 55, Berlin, Berlin 10405, DE","Germany,Estonia,France,Spain,Portugal,Switzerland,UK,Nepal,Netherlands,Belgium,Finland,Sweden,Latvia,Lithuania,Denmark,Ireland,Czech Republic,Greece,Hungary,Italy,Norway,Poland",3. Early Revenue,"We invest in European B2B SaaS companies with focus on Industry Tech, Property Tech, and Enterprise Tech. Ideally with solid POCs or early revenues. ",VC,"$500,000","$3,000,000",https://www.linkedin.com/company/join-capital/
Jumpspeed Ventures,https://jumpspeed.co/,"Jerusalem, Israel",Israel,"1. Idea or Patent,2. Prototype","We invest in Jerusalem, Israel originated early stage tech startups ",VC,"$200,000","$1,000,000",https://il.linkedin.com/company/jumpspeed-ventures
JVP Jerusalem Venture Partners,https://www.jvpvc.com/,"Margalit Start Up City, 24 Hebron Road, Jerusalem, Israel","USA,Israel,Canada","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO,2. Prototype","We invest in entrepreneurs from the earliest stage of investment and all the way to exit, building international market leaders, out of our hubs in Jerusalem (HQ), Beer Sheva (cyber), New York (cyber, fintech, food tech), Galilee (food and Agtech), Haifa (digital health). ",VC,"$1,000,000","$40,000,000",https://www.linkedin.com/company/jvp/
K Fund,https://en.kfund.vc/,"Calle Juan Bravo 10, 28006, Madrid, Spain","Spain,Portugal,USA,UK,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed to pre-Series A B2B and B2C companies across Europe and the US.,VC,"$100,000","$2,000,000",https://www.linkedin.com/company/kfund/
Kaas Ventures,https://kaas.vc/,"P.C. Hooftstraat 141, 1071 BT, The Netherlands","Netherlands,Germany,UK,Belgium,France",3. Early Revenue,We invest in the most promising consumer-only brands across Europe,Angel network,"$50,000","$1,000,000",https://www.linkedin.com/company/kaas/
Kalaari Capital,https://www.kalaari.com/,"Navigator Building, ITPL, Whitefield, Bangalore 560066, Karnataka, India",India,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in tech startups building for the Indian market or building in India for the global markets,VC,"$300,000","$5,000,000",https://www.linkedin.com/company/kalaari-capital/
Karista,https://www.karista.vc/,"45 rue Boissière, 75116 Paris, France","France,UK,Spain,Germany,Belgium,Italy,Luxembourg,Netherlands,Switzerland","3. Early Revenue,2. Prototype","We invest in early-stage companies developing a true tech asset in Healthcare, Digital, Technology and NewSpace",VC,"$500,000","$2,000,000",https://www.linkedin.com/company/karistavc
Keiki Capital,https://www.keikicapital.com/,"Laguna Beach, CA, United States","USA,Canada,UK","2. Prototype,3. Early Revenue",We invest in early stage tech startups with climate impact.,VC,"$100,000","$200,000",https://www.linkedin.com/company/keiki-capital-llc
Kennet Partners,https://kennet.com/,"9 Kingly Street, London, W1B 5PH","UK,USA,France,Germany","4. Scaling,5. Growth",We invest in B2B Saas with a particular interest in capital-efficient businesses,VC,"$8,000,000","$30,000,000",https://www.linkedin.com/company/kennet-partners/
Kerala Ventures,https://www.kerala.vc/,"7 rue Puvis de Chavannes, 75017, Paris, France",France,"3. Early Revenue,2. Prototype,1. Idea or Patent","Kerala Ventures is a VC firm investing in early-stage tech startups (SaaS, marketplaces, AI, data, tech-enabled services …) based in France.

Our first investment ranges from €100K to €1.5M and our portfolio includes 10 companies (+ 1 successful exit).",VC,"$100,000","$1,500,000",https://www.linkedin.com/company/kerala-ventures/
Khoob,http://khoob.group/,"3rd Floor Kushal House 39 Nehru Place, New Delhi, 110019, India ",India,"1. Idea or Patent,2. Prototype",We invest in interesting early stage Indian companies. ,VC,"$25,000","$250,000",https://www.linkedin.com/company/khoob
Kibo Ventures,http://kiboventures.com/,"Calle Zurbano 34, 28010 Madrid","Spain,Portugal,USA,Germany,UK","3. Early Revenue,4. Scaling",We invest in digital consumer and enterprise software. ,VC,"$2,000,000","$4,500,000",https://www.linkedin.com/company/kibo-ventures/
Kickstart Fund,https://kickstartfund.com/,"2750 E Cottonwood Pkwy, STE 160, Cottonwood Heights, UT 84121",USA,"3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent","We invest in the boldest entrepreneurs and help them build great companies in the Wild West by backing with capital, community, and expertise for the journey.",VC,"$250,000","$2,000,000",https://www.linkedin.com/company/kickstartfund/
Kima Ventures,https://www.kimaventures.com/,"Paris, France","France,USA,UK,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early-stage startups with strong tech DNA, founded by French founders wherever they're in the world. We're sector agnostic and investing one-off tickets of 150k€.",VC,"$100,000","$200,000",https://www.linkedin.com/company/kima-ventures/
Kindred Capital,https://www.kindredcapital.vc/,"First Floor, 44-46 Sekforde Street, London, London EC1R0HA, GB","UK,Poland,Germany,Israel,France","3. Early Revenue,2. Prototype",We invest in equitable ventures. Kindred aligns ambitions and achievements with the portfolio. In structure and in spirit. Every single founder that the company backs will become a co-owner of the fund.,VC,"$1,000,000","$1,500,000",https://www.linkedin.com/company/kindred-capital-vc
Korelya Capital,http://www.korelyacapital.com/,"87 rue Réaumur, Paris, Ile de France 75002, FR","France,UK,Estonia,Spain,Germany,Netherlands","5. Growth,6. Pre-IPO","We invest in European Tech leaders, typically from Series B and onwards.",VC,"$2,000,000",$0,https://www.linkedin.com/company/korelyacapital/
Krypton Venture Studio,https://gokrypton.com/,"Marina Del Rey, CA, United States",USA,"3. Early Revenue,4. Scaling,5. Growth,1. Idea or Patent,2. Prototype","We invest in ideas and people that move the world forward first. From ideation to fundraising, we look for leaders who are passionate.

Krypton is a venture studio.",Startup studio,"$25,000","$200,000",https://www.linkedin.com/company/krypton-venture-studio/
Laconia,https://www.laconiacapitalgroup.com/,"381 Park Ave South, New York, NY 10016 United States",USA,"3. Early Revenue,4. Scaling,2. Prototype","We invest in B2B software companies revolutionizing legacy industries. We are sector-agnostic, with a geographic focus on Northeast US major markets. As entrepreneurs ourselves, we focus on GTM acceleration, operational execution, and capital strategy. With our founder-focused DNA, concentrated portfolio, and disciplined investment process, we help entrepreneurs build category-leading companies.",VC,"$500,000","$2,000,000",https://www.linkedin.com/company/laconiacapitalgroup/
Lafayette Square,https://www.lafayettesquare.com/,"New York, United States",USA,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in impact-driven companies that are pushing us towards a more inclusive future.,PE fund,"$50,000","$10,000,000",https://www.linkedin.com/company/lafayettesquare
Las Olas Venture Capital,https://www.lasolasvc.com/,"300 SW 1st Ave, Suite 155, Fort Lauderdale, FL 33301, United States",USA,"3. Early Revenue,4. Scaling",We invest in US-based B2B vertical software and software-enabled marketplaces with early signs of product/market fit.,VC,"$250,000","$2,000,000",https://www.linkedin.com/company/las-olas-venture-capital
LDV Capital,https://www.ldv.co/,"111 East 14th Street, #102, New York, NY 10003, USA","USA,Canada,UK,France,Germany,Spain,Italy,Poland,Ukraine,Russia,Norway,Switzerland,Sweden,Denmark,Estonia,Israel","2. Prototype,1. Idea or Patent","We invest in visual technology startups (think computer vision, machine vision, photo, video, sensors, and pretty much anything that uses visual data of some sort) in the very earliest of stages (we often invest pre-incorporation) across sectors and industries in North America, Europe, and Israel.",VC,"$500,000","$1,200,000",https://www.linkedin.com/company/ldv-capital/
Lea Partners,https://www.leapartners.de/en/,"An der RaumFabrik 10, Karlsruhe, 76227, DE","Germany,Switzerland,Austria","3. Early Revenue,4. Scaling",We invest in software and deep-tech companies that challenge the status quo by building 10x better solutions or disrupting the market. Product-Market fit with traction needed.,VC,"$1,000,000","$5,000,000",https://www.linkedin.com/company/l-ea-private-equity-gmbh
Leaders Fund,https://www.leaders.vc/,"20 Eglinton Ave W, Toronto, Ontario M4R 1K8, CA","Canada,USA,Israel","3. Early Revenue,4. Scaling,5. Growth",We invest in B2B SaaS companies across North America and Israel.,VC,"$5,000,000","$20,000,000",https://www.linkedin.com/company/leaders-fund/
Leet Capital,http://leet.capital/,"C-19-08, KL Trillion, 50400 Kuala Lumpur, Malaysia",Malaysia,"4. Scaling,5. Growth,6. Pre-IPO","We invest in high potential growth scale companies using equity crowd funding. We are licensed by the Securities Commission, Malaysia. ",Other,$0,"$4,800,000",https://www.linkedin.com/company/1337ventures
LeFonds by FrenchFounders,https://lefonds.vc/,"27 W 20th St., Suite 800, New York, New York 10011, US","USA,France,Canada,UK,Belgium,Germany,Switzerland,Netherlands,Spain,Portugal","4. Scaling,3. Early Revenue","We invest in early-stage ventures.

- A unique positioning filling a combined network & operation gap when going global. 

- Cross-border experience to support portfolio companies.

- Sector Agnostic investments: a diversified investment strategy B2B and B2C cross sectors in private technology companies.

- Within FrenchFounders Inc., we leverage the fantastic network of 4'000+ members, 250+ Investors worldwide for deal flow and portfolio support with a post fundraising program.

Success going global lies in a calculated Scale-Up plan sharply executed.

LeFonds by FrenchFounders is an early-stage investor for Tech companies going global.

We are a first-stage venture partner focused on investing in people who create solutions or products that satisfy identified & actionable market needs.

LeFonds by FrenchFounders is a catalyst for Startups with French-speaking co-founders who have global ambitions.",VC,"$200,000","$800,000",https://www.linkedin.com/showcase/lefonds/
Lego Ventures,https://legoventures.com/,"Billund, Denmark","USA,UK,Denmark,Sweden,Finland,France,Germany,Spain,Italy,China,Netherlands,Switzerland,Norway","3. Early Revenue,4. Scaling,2. Prototype",We invest in start-ups that embody the idea of 'learning through play' and help build 21st Century Skills across Edtech and Gaming sectors.,Corporate VC,"$1,000,000","$10,000,000",https://www.linkedin.com/showcase/lego-ventures/
Lemonade Stand,https://lemonadestand.ee,"Tallinn, Estonia","Estonia,Latvia,Lithuania,Poland,Ukraine,Czech Republic,Croatia,Romania,Slovenia,Slovakia","2. Prototype,3. Early Revenue","We invest in Baltic and East European founders working on impactful B2B software solutions (also pre-product, pre-revenue stage).",Family office,"$50,000","$300,000",https://www.linkedin.com/company/lemonade-stand-vc/
Leonard,https://leonard.vinci.com,"6 place du Colonel Bourgoin, Paris, 75012, France ",France,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early stage startups solving the challenges of future cities in the verticals of construction, real estate, energy and mobility ",Corporate VC,"$70,000","$70,000",https://www.linkedin.com/company/weareleonard/
Leonis Investissement,https://leonis.vc/,"69, Rue Dunois, Paris, Île-de-France 75013, FR",USA,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in US-based startups with traction and revenue,Angel network,"$400,000","$1,000,000",https://www.linkedin.com/company/leonis-vc/
Leyden Ventures,https://www.leyden.vc/,"Emirates Towers, Dubai, UAE",USA,"3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in US-based startups leveraging software. Broad focus. B2B preference. ,VC,"$50,000","$250,000",https://www.linkedin.com/company/71098211
Lightship Capital,https://www.lightship.capital/,"1311 Vine Street, Cincinnati, OH 4520",USA,"3. Early Revenue,4. Scaling","We invest in underrepresented founders across the Midwest and South building companies in AI/ML, Healthtech, CPG, Ecommerce, and Environmental Sustainability with existing revenue traction.",VC,"$250,000","$500,000",https://www.linkedin.com/company/lightship-capital/
Lombardstreet Ventures,https://www.lombardstreet.io/,"585 Glenwood Ave, Menlo Park, CA 94025, United States",USA,"3. Early Revenue,2. Prototype,4. Scaling","We invest in tech companies based in Silicon Valley with distributed teams, with initial traction (3-6 months).",VC,,,https://www.linkedin.com/company/lombardstreet.io/
London Venture Partners,https://londonvp.com/,"7 Portland Mews, London W1F 8JQ","USA,UK,Denmark,Sweden,Finland,Canada,Germany,France,Spain,Italy,Netherlands,Belgium,Israel,Croatia,Turkey,Estonia,Latvia,Lithuania,Czech Republic,Cyprus,Greece,Hungary,Iceland,Ireland,Norway,Switzerland,Serbia,Slovakia,Slovenia","2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in gaming companies. ,VC,"$500,000","$2,000,000",https://www.linkedin.com/company/london-venture-partners/
Looking Glass Capital,http://lookingglass.vc/,"New York, NY 10065, US","USA,Canada","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in mission-driven founders during the earliest days of company building. We are most inspired by entrepreneurs solving today's biggest challenges across the themes of healthier living; human capital (all forms of education, tools and platforms for SMBs, and products that facilitate access, identity, or self-expression); and sustainability and the environment.",VC,"$300,000","$400,000",https://www.linkedin.com/company/looking-glass-capital
LT Capital,http://ltcapital.vc/,"Karola Bunscha 18, 30-392 Cracow, Poland","Poland,Lithuania,Latvia,Estonia,Ukraine,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in great teams that build their market advantage based on a technological component in sectors that are the foundation of Industry 4.0 - such as AI, robotics, big data, AR/VR, etc. - and are preferably at least at MVP plus first client stage.",VC,"$300,000","$300,000",https://www.linkedin.com/company/ltcapital
Lumen Ventures,https://lumen.ventures/,"Via Francesco Denza, 20, Rome, Italy 00197, IT",Italy,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in pre-seed and seed, industry agnostic.",VC,"$200,000","$1,000,000",https://www.linkedin.com/company/lumenventures
Lunar Ventures,https://lunarventures.eu/,"Danziger Straße, Berlin, Berlin 10405, DE","Germany,Spain,Portugal,France,Belgium,UK,Romania,Czech Republic,Italy,Sweden","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early seed European startups building on the overlaps of software and deep tech,VC,"$100,000","$500,000",https://www.linkedin.com/company/lunar-ventures
LVenture Group,https://www.lventuregroup.com/,Via Marsala 29H | 00185 Roma Italia,Italy,"2. Prototype,3. Early Revenue,4. Scaling","We invest in digital startups and accelerate their development process, from prototype development to market placement.

",VC,"$150,000","$300,000",https://www.linkedin.com/company/lventure-group/
Lyall Ventures,https://www.linkedin.com/company/lyall-ventures,"London, United Kingdom",UK,"3. Early Revenue,4. Scaling","We invest in AI, tech, early-stage up to before series A. Must have early revenues and version 1.0 of tech. Happy to be in touch earlier but it's a requirement for investment.",Family office,"$25,000","$150,000",https://www.linkedin.com/company/lyall-ventures
M12 - Microsoft's Venture Fund,https://m12.vc/,"San Francisco, California, United States","USA,France,Israel,Canada,India,Malaysia,Portugal,Sweden,Norway,Estonia,Singapore,Germany,Brazil,UK","3. Early Revenue,4. Scaling,5. Growth",We invest in early-stage software companies disrupting the enterprise.,Corporate VC,"$1,000,000","$20,000,000",https://www.linkedin.com/company/m12vc/
M25,https://m25vc.com/,"116 W Hubbard St, Chicago, Illinois US",USA,"2. Prototype,3. Early Revenue",We invest in US Midwest-based preseed and seed stages companies that are tech or tech-enabled. ,VC,"$250,000","$500,000",https://www.linkedin.com/company/m25-vc/
Maccabee Ventures,https://www.maccabee.vc/,"335 Madison Ave, 16th Fl., New York, NY 10017","USA,Israel","2. Prototype,3. Early Revenue","We invest in thoughtful founders and transformative technologies across SilverTech® (Aging), Digital Health, PropTech FinTech, Cybersecurity, SaaS and AI. We act as a strategic partner and have a preference for product, traction and revenue. ",VC,"$50,000","$150,000",https://www.linkedin.com/company/macventures/
Macdoch Ventures,https://macdochventures.com/,"Potts Point, Sydney, Australia","Australia,New Zealand","3. Early Revenue,4. Scaling","We invest in companies across ANZ with $25-100k+ in MRR and particularly love networked businesses, marketplaces, B2B SaaS and infrastructure enabler businesses.",Family office,"$200,000","$800,000",https://www.linkedin.com/company/macdoch-ventures/
Macif Innovation,https://www.macif.fr/assurance/le-groupe-macif/innovation,"75015 Paris, France","France,Belgium,Switzerland,Luxembourg","3. Early Revenue,4. Scaling","We invest in Insurtech, Fintech, Mobility, SilverEconomy, SmartCity, HealthTech solutions",Corporate VC,"$300,000","$1,500,000",https://www.linkedin.com/company/groupemacif/
Madrona Venture Group,https://www.madrona.com/,"999 3rd Avenue, Suite 3400, Seattle, WA 98104, US",USA,"3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent,5. Growth","We invest in seed and early-stage technology companies in the Pacific NW, as well as early growth stage companies across the US. Our areas of focus are Intelligent Applications with AI/ML, Software Infrastructure, Low-code & No-code, the Future of Work, the Digital Transformation of Consumer Experiences, and the Intersection of Machine Learning and Life Sciences. More here: https://www.madrona.com/madronas-investment-themes-for-2020-and-beyond/ ",VC,"$1,000,000","$10,000,000",https://www.linkedin.com/company/madrona-venture-group/
Maersk Growth,https://www.maersk.com/growth,"Esplanaden 6, DK-1263 Copenhagen, Denmark","Sweden,Norway,Denmark,Finland,France,Germany,UK,Israel,USA,Canada","2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in supply chain startups. We accelerate the future of trade by injecting capital and our own unique rocket fuel into ventures that apply new business models and technologies to transform global supply chains.,Corporate VC,"$500,000","$5,000,000",https://www.linkedin.com/company/maersk-growth/
